L_min,L_max,Hue_min,Hue_max,S_min,S_max,L_delay_min,L_delay_max,M_delay_min,M_delay_max,S_delay_min,S_delay_max,P1_min,P1_max,P3_min,P3_max,P5_min,P5_max,PHOS_color,Result,Call,Note
0,3,0,360,30,101,0,1.1,0,1.1,0,1.1,0,101,0,101,0,101,0,0,others,no phos
5,101,175,205,30,101,0.35,1.1,0,1.1,0,1.1,25,101,0,101,0,101,1,3,HPHT,
5,101,175,205,30,101,0.35,1.1,0,1.1,0,1.1,80,101,0,101,50,101,1,3,HPHT,Saturated phos
5,101,70,130,30,101,0,1.1,0.6,1.1,0,1.1,0,101,5,101,0,101,2,4,CVD,
5,101,0,30,30,101,0,1.1,0.6,1.1,0,1.1,0,101,5,101,0,101,2,4,CVD,
5,101,330,360,30,101,0,1.1,0.6,1.1,0,1.1,0,101,5,101,0,101,2,4,CVD,
5,101,70,130,30,101,0,1.1,0,1.1,0,1.1,0,101,0,101,0,101,0,0,CVD,
5,101,0,30,30,101,0,1.1,0,1.1,0,1.1,0,101,0,101,0,101,0,0,CVD,
5,101,330,360,30,101,0,1.1,0,1.1,0,1.1,0,101,0,101,0,101,0,0,CVD,
3,101,150,270,0,101,0,1.1,0,1.1,0.025,0.5,3,101,0,101,0,101,0,7,Natural,with short phos
3,101,0,190,0,101,0,1.1,0,1.1,0,0.025,3,101,0,101,0,101,0,2,Glass,
0,101,0,360,0,101,0,2,0,2,0,2,0,101,0,101,0,101,0,0,others,
